name,source,question,where,what,which,how,how_adj,why,place_names,place_types,objects,qualities,object_qualities,activities,situations,spatial_relationships
Enkhbold,GEOANALYTICAL,Where are the high population growth regions in China from 1953 to 2000,,,,,,,,,,,,,,
Enkhbold,GEOANALYTICAL,What areas are not within conservation areas in UK,,,,,,,,,,,,,,
Enkhbold,GEOANALYTICAL,"What is the influence of the spatial distribution of neighborhood violent crime on fear of crime in East Baton Rouge Parish, US",,,,,,,,,,,,,,
Enkhbold,GEOANALYTICAL,"How to identify urban growth potential in the area Islamabad Zone IV of Islamabad, Pakistan",,,,,,,,,,,,,,
Enkhbold,GEOANALYTICAL,How to measure and monitor urban sprawl and carbon footprint in Phoenix metropolitan area,,,,,,,,,,,,,,
Enkhbold,GEOANALYTICAL,"What are the factors determining the potential for the occurrence of robberies in buses in Salvador, Brazil",,,,,,,,,,,,,,
Enkhbold,GEOANALYTICAL,Where is the longest ski piste in Happy Valley ski resort,,,,,,,,,,,,,,
Enkhbold,GEOANALYTICAL,What are the changes in spatial characteristics of the population in Leeds from 2010 to 2030,,,,,,,,,,,,,,
Enkhbold,GEOANALYTICAL,How does fertility vary between central cities and suburban areas in Britain,,,,,,,,,,,,,,
Enkhbold,GEOANALYTICAL,What areas are within half-mile distance from major highways in the Houston-Galveston area,,,,,,,,,,,,,,
Enkhbold,GEOANALYTICAL,where is the neighborhood that has the highest burglary rate in Amsterdam,,,,,,,,,,,,,,
Enkhbold,GEOANALYTICAL,"Are population change related to transport accessibility in Finland, 1990-2008",,,,,,,,,,,,,,
Enkhbold,GEOANALYTICAL,Where does the Fort Worth police department assign a specific task force to deal with the most dangerous crimes,,,,,,,,,,,,,,
Enkhbold,GEOANALYTICAL,Where is there flat land within 500 m of a major highway in the United Kingdom,,,,,,,,,,,,,,
Enkhbold,GEOANALYTICAL,What are the methods for modeling population,,,,,,,,,,,,,,
Enkhbold,GEOANALYTICAL,"How are economic activities clustered within the metropolitan area of Shenyang, China",,,,,,,,,,,,,,
Enkhbold,GEOANALYTICAL,"What is the conversion pattern of rural-urban land use in Nanjing, China from 2000 to 2004",,,,,,,,,,,,,,
Enkhbold,GEOANALYTICAL,"Within Riverside-San Bernardino, where are the areas with high population density but no health care facilities",,,,,,,,,,,,,,
Enkhbold,GEOANALYTICAL,To what extent does traffic congestion reduce because of expansion of A27,,,,,,,,,,,,,,
Enkhbold,GEOQA,Which is the largest lake by area in Great Britain,,,,,,,,,,,,,,
Enkhbold,GEOQA,What is the area of county Chesire,,,,,,,,,,,,,,
Enkhbold,GEOQA,Which is the smallest lake in Scotland,,,,,,,,,,,,,,
Enkhbold,GEOQA,Which hospitals are close to Stirling Castle,,,,,,,,,,,,,,
Enkhbold,GEOQA,Is there a Modern Art Museum in London,,,,,,,,,,,,,,
Enkhbold,GEOQA,Is there a forest in Lancashire north of Burnley,,,,,,,,,,,,,,
Enkhbold,GEOQA,What the name of the river that runs through London,,,,,,,,,,,,,,
Enkhbold,GEOQA,Which airports are in London,,,,,,,,,,,,,,
Enkhbold,GEOQA,Is there a river in Ireland that crosses more than 3 cities,,,,,,,,,,,,,,
Enkhbold,GEOQA,Where is a car park near Big Ben,,,,,,,,,,,,,,
Enkhbold,GEOQA,Which hospitals in Liverpool are near Abercromby Square,,,,,,,,,,,,,,
Enkhbold,GEOQA,Is Alnwick Castle in Scotland,,,,,,,,,,,,,,
Enkhbold,GEOQA,Which aerodromes are at most 50km from London,,,,,,,,,,,,,,
Enkhbold,GEOQA,In which city is Big Ben located,,,,,,,,,,,,,,
Enkhbold,GEOQA,Which art museums are at most 1km from Charlotte Square in Edinburgh,,,,,,,,,,,,,,
Enkhbold,GEOQA,How many districts does Northern Ireland have,,,,,,,,,,,,,,
Enkhbold,GEOQA,Is there a river that crosses Manchester,,,,,,,,,,,,,,
Enkhbold,GEOQA,Which lakes are in Ireland,,,,,,,,,,,,,,
Enkhbold,GEOQA,Which aerodrome is in Essex,,,,,,,,,,,,,,
Enkhbold,GEOQA,What historical monuments are there in London,,,,,,,,,,,,,,
Enkhbold,GEOQA,Which car park is closest to a bridge on river Exe,,,,,,,,,,,,,,
Enkhbold,GEOQA,Is there a river that crosses county Greater Manchester,,,,,,,,,,,,,,
Enkhbold,GEOQA,Which is the largest royal borough of London,,,,,,,,,,,,,,
Enkhbold,GEOQA,Which universities are in county Essex,,,,,,,,,,,,,,
Enkhbold,GEOQA,How many hospitals are there in Oxford,,,,,,,,,,,,,,
Enkhbold,GEOQA,Which is the highest mountain in Ireland,,,,,,,,,,,,,,
Enkhbold,GEOQA,Which towns of England have at least two hospitals,,,,,,,,,,,,,,
Enkhbold,GEOQA,Which hotels are in England capital,,,,,,,,,,,,,,
Enkhbold,GEOQA,Is there a mountain in the county of Greater Manchester taller than 1300 meters above sea level,,,,,,,,,,,,,,
Enkhbold,GEOQA,Where is the closest market to Elephant and Castle underground station,,,,,,,,,,,,,,
Enkhbold,GEOQA,Which is the longest river in Scotland,,,,,,,,,,,,,,
Enkhbold,GEOQA,Which is the biggest county council in the Republic of Ireland,,,,,,,,,,,,,,
Enkhbold,GEOQA,How many cities does Merseyside have,,,,,,,,,,,,,,
Enkhbold,GEOQA,Is there any airfield in Wellesbourne village in England,,,,,,,,,,,,,,
Enkhbold,GEOQA,Which rivers discharge into the Solway Firth,,,,,,,,,,,,,,
Enkhbold,GEOQA,What is the longest bridge in Scotland,,,,,,,,,,,,,,
Enkhbold,GEOQA,Which countries border Wales,,,,,,,,,,,,,,
Enkhbold,GEOQA,Is there a mountain within 20km of Cheshire,,,,,,,,,,,,,,
Enkhbold,GEOQA,Is Somerset west of Westmorland,,,,,,,,,,,,,,
Enkhbold,GEOQA,Where is Tower Bridge located,,,,,,,,,,,,,,
Enkhbold,GEOQA,Which Welsh district has the most adjacent Welsh districts,,,,,,,,,,,,,,
Enkhbold,GEOQA,Where is the nearest gas station to St. Peter Square in Manchester,,,,,,,,,,,,,,
Enkhbold,GEOQA,Which hotel is the nearest to Old Trafford Stadium in Manchester,,,,,,,,,,,,,,
Enkhbold,GEOQA,Which is the largest lake in England,,,,,,,,,,,,,,
Enkhbold,GEOQA,Which are the non-metropolitan counties of England,,,,,,,,,,,,,,
Enkhbold,GEOQA,Are there any lakes in Scotland,,,,,,,,,,,,,,
Enkhbold,GEOQA,Is there a county of England that borders the Isle of Wight,,,,,,,,,,,,,,
Enkhbold,GEOQA,Where is Nelson Column located,,,,,,,,,,,,,,
Enkhbold,GEOQA,Are the cities that River Thames crosses more than 10,,,,,,,,,,,,,,
Enkhbold,GEOQA,Does Everton FC plays in Liverpool,,,,,,,,,,,,,,
Enkhbold,MSMARCO,where is the element by Westin hotel in Dallas,,,,,,,,,,,,,,
Enkhbold,MSMARCO,what county is anaheim California in,,,,,,,,,,,,,,
Enkhbold,MSMARCO,where is Geduld,,,,,,,,,,,,,,
Enkhbold,MSMARCO,what county is Edwardsburg Michigan in,,,,,,,,,,,,,,
Enkhbold,MSMARCO,where is Jacksboro,,,,,,,,,,,,,,
Enkhbold,MSMARCO,what county is ocean Isle North Carolina,,,,,,,,,,,,,,
Enkhbold,MSMARCO,where is market basket in Omaha Nebraska,,,,,,,,,,,,,,
Enkhbold,MSMARCO,which county is Big Sur California,,,,,,,,,,,,,,
Enkhbold,MSMARCO,where is North Ryde Australia,,,,,,,,,,,,,,
Enkhbold,MSMARCO,what county is Ottumwa Iowa in,,,,,,,,,,,,,,
Enkhbold,MSMARCO,where is Temara,,,,,,,,,,,,,,
Enkhbold,MSMARCO,where is Pirtle Oklahoma,,,,,,,,,,,,,,
Enkhbold,MSMARCO,where is st ann Jamaica,,,,,,,,,,,,,,
Enkhbold,MSMARCO,what county is Menasha Wisconsin in,,,,,,,,,,,,,,
Enkhbold,MSMARCO,what continent is Philippines on,,,,,,,,,,,,,,
Enkhbold,MSMARCO,where is the Persian Gulf located,,,,,,,,,,,,,,
Enkhbold,MSMARCO,where is Abbeyleix,,,,,,,,,,,,,,
Enkhbold,MSMARCO,what county is Arrey New Mexico in,,,,,,,,,,,,,,
Enkhbold,MSMARCO,what county is Setauket New York located in,,,,,,,,,,,,,,
Enkhbold,MSMARCO,where is Upham North Dakota,,,,,,,,,,,,,,
Enkhbold,MSMARCO,what county is Salem Nebraska in,,,,,,,,,,,,,,
Enkhbold,MSMARCO,which State Park is near warren Dunes,,,,,,,,,,,,,,
Enkhbold,MSMARCO,what county is Vail Colorado,,,,,,,,,,,,,,
Enkhbold,MSMARCO,what county is Lynwood,,,,,,,,,,,,,,
Enkhbold,MSMARCO,what county is Quartz Hill California in,,,,,,,,,,,,,,
Enkhbold,MSMARCO,where is Heinz Ketchup manufactured,,,,,,,,,,,,,,
Enkhbold,MSMARCO,where did the name DesRosiers derive from,,,,,,,,,,,,,,
Enkhbold,MSMARCO,where is St  Marie Island,,,,,,,,,,,,,,
Enkhbold,MSMARCO,which county is henderson Tennessee in,,,,,,,,,,,,,,
Enkhbold,MSMARCO,what county is Cottageville South Carolina,,,,,,,,,,,,,,
Enkhbold,MSMARCO,where is Buckingham,,,,,,,,,,,,,,
Enkhbold,MSMARCO,what is the capital city of Shikoku,,,,,,,,,,,,,,
Enkhbold,MSMARCO,what town is Taft Texas near,,,,,,,,,,,,,,
Enkhbold,MSMARCO,in what county is St Paul Missouri,,,,,,,,,,,,,,
Enkhbold,MSMARCO,what county is Daly City California in,,,,,,,,,,,,,,
Enkhbold,MSMARCO,what continent is Monument Valley National Park in,,,,,,,,,,,,,,
Enkhbold,MSMARCO,what county is springfield South Dakota,,,,,,,,,,,,,,
Enkhbold,MSMARCO,what sort of island are the Canaries geographically,,,,,,,,,,,,,,
Enkhbold,MSMARCO,what city is Big Creek Oregon,,,,,,,,,,,,,,
Enkhbold,MSMARCO,where is the Colorado Railroad Museum,,,,,,,,,,,,,,
Enkhbold,MSMARCO,where is Meadowville located,,,,,,,,,,,,,,
Enkhbold,MSMARCO,where is Tbilisi Georgia,,,,,,,,,,,,,,
Enkhbold,MSMARCO,where is Oak Creek Wisconsin,,,,,,,,,,,,,,
Enkhbold,MSMARCO,what airport to get to Destin Florida,,,,,,,,,,,,,,
Enkhbold,MSMARCO,where is Padre Island Texas,,,,,,,,,,,,,,
Enkhbold,MSMARCO,where are the kelly  s from in Ireland,,,,,,,,,,,,,,
Enkhbold,MSMARCO,where is Elkwood Virginia,,,,,,,,,,,,,,
Enkhbold,MSMARCO,where is Huntersville North Carolina,,,,,,,,,,,,,,
Enkhbold,MSMARCO,what county is Alameda California,,,,,,,,,,,,,,
Enkhbold,MSMARCO,where is Neah Bay Washington,,,,,,,,,,,,,,
