permanent,1
sheep,1
uk,1
temperate,1
brilliant,1
amphibious,1
shakespeare,1
boomtown,1
visible,1
pacific,2
ardaiso,1
sunniest,1
amtrak,1
federal,3
memorial,1
northeast,1
deepest,1
affluent,1
black,5
upstate,1
martha,1
bali,1
royal,3
moxee,1
medical,1
worcester,1
giant,1
jiffy,1
physiographic,1
dolan,1
postal,1
tall,1
blank,1
papua,2
supervisorial,1
galaxy,1
malvern,1
third,1
domestic,1
posh,1
comic,1
spancil,1
convertible,2
ross,2
natinal,1
populated,2
manly,1
chapman,1
indonesian,1
institutional,1
shortest,1
thatched,1
marriott,2
northernmost,2
mimic,1
gate,3
main,8
insular,1
lysychansk,1
nyc,1
uscg,1
bucky,1
southwestern,1
allentown,1
urethra,1
johns,1
guguh,1
coldest,2
monte,1
boothurst,1
climatic,1
critzow,1
farthest,2
iliac,1
beale,1
turkish,1
mewtwo,1
lost,1
warmest,2
shaw,2
leo,1
68th,1
timberline,1
young,1
sullivan,1
available,2
bay,1
lauderdale,1
early,1
griffin,2
nearby,1
jewish,1
only,1
ionian,2
overall,1
myrtle,1
nowra,1
wichita,1
quick,1
stephen,1
bogoslof,1
walker,1
granville,2
brightmoor,1
unc,1
medimpact,1
large,3
duke,1
geological,1
worst,1
metropolitan,1
statistical,1
jarden,1
popayan,1
mailing,1
kmart,1
manabi,1
tuska,1
longest,7
dry,1
strange,1
dense,1
regular,1
relative,4
murray,2
pink,1
anthony,1
abby,1
likely,2
cuiaba,1
sleepy,1
jacobite,1
electric,1
post,1
concrete,1
social,1
ok,2
cave,1
markesan,1
prettiest,1
hull,3
syrian,1
inclusive,1
cove,2
pnc,1
golden,3
padraic,1
fun,1
nicest,1
additional,1
tibial,1
beverly,1
correctional,3
lizard,1
grand,2
7th,1
donna,2
rainbow,2
preferable,1
roughest,1
arnold,1
cloudbreak,1
seismic,1
nuclear,1
neighboring,1
philip,1
healthsource,1
dumaguete,1
ultimate,1
bohemia,1
hot,2
snowy,1
sunny,2
hamamatsucho,1
leading,1
global,1
technical,1
bonesnap,1
rosa,1
kaaawa,1
russian,1
ossian,1
degray,1
hottest,1
boniface,1
high,1
exact,1
seafair,1
darwin,2
5th,1
exclusive,1
ringmackilroy,1
jurassic,1
busy,1
amber,1
combined,1
luther,1
dulles,1
standard,1
mountainous,1
many,1
canary,1
justin,1
wettest,1
continental,1
rebellious,1
nerf,1
pullman,1
friendly,1
csi,1
st,1
statutory,1
small,1
txdot,1
daily,1
secretariat,1
ideal,1
contiguous,1
criminal,1
bracketville,1
darker,1
setubal,1
brown,1
sonic,1
mini,1
northway,1
dcc,1
retrak,1
mayan,1
poorest,1
puerto,1
international,1
helena,2
aboriginal,1
davis,2
parish,1
cooper,2
natomas,1
glorious,1
cheaper,1
potter,1
imperial,1
burton,2
stewart,1
axis,1
pennsylvania,1
worth,1
presbyterian,1
kinnickinnic,1
alto,1
